text,true,pred,confidence,prob_pos,n_words,has_negation,has_contrast,correct
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0,1,0.9996318817138672,0.9996318817138672,15,False,False,False
"skillful as he is , mr . shyamalan is undone by his pretensions .",0,1,0.9996299743652344,0.9996299743652344,14,False,False,False
"it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie . their contrast is neither dramatic nor comic -- it's just a weird fizzle .",0,1,0.9996289014816284,0.9996289014816284,32,True,False,False
the armenian genocide deserves a more engaged and honest treatment .,0,1,0.9996275901794434,0.9996275901794434,11,False,False,False
a film that will probably please people already fascinated by behan but leave everyone else yawning with admiration .,0,1,0.9996249675750732,0.9996249675750732,19,False,True,False
one regards reign of fire with awe . what a vast enterprise has been marshaled in the service of such a minute idea .,0,1,0.9996237754821777,0.9996237754821777,24,False,False,False
"it's all arty and jazzy and people sit and stare and turn away from one another instead of talking and it's all about the silences and if you're into that , have at it .",0,1,0.9996212720870972,0.9996212720870972,35,False,False,False
spy-vs . -spy action flick with antonio banderas and lucy liu never comes together .,0,1,0.9996191263198853,0.9996191263198853,15,True,False,False
a rehash of every gangster movie from the past decade .,0,1,0.9996178150177002,0.9996178150177002,11,False,False,False
"bang ! zoom ! it's actually pretty funny , but in all the wrong places .",0,1,0.999610960483551,0.999610960483551,16,False,True,False
too daft by half . . . but supremely good natured .,0,1,0.999609649181366,0.999609649181366,12,False,True,False
"rather than real figures , elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the naïf's encounter with the world .",0,1,0.99960857629776,0.99960857629776,27,False,False,False
"allegiance to chekhov , which director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard , is a particularly vexing handicap .",0,1,0.9996045231819153,0.9996045231819153,27,False,False,False
there are many definitions of 'time waster' but this movie must surely be one of them .,0,1,0.9996008276939392,0.9996008276939392,17,False,True,False
"enchanted with low-life tragedy and liberally seasoned with emotional outbursts . . . what is sorely missing , however , is the edge of wild , lunatic invention that we associate with cage's best acting .",0,1,0.9995929598808289,0.9995929598808289,36,False,True,False
this one aims for the toilet and scores a direct hit .,0,1,0.9995915293693542,0.9995915293693542,12,False,False,False
"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .",0,1,0.9995905756950378,0.9995905756950378,20,False,False,False
"soulless and -- even more damning -- virtually joyless , xxx achieves near virtuosity in its crapulence .",0,1,0.9995875954627991,0.9995875954627991,18,False,False,False
what [frei] gives us . . . is a man who uses the damage of war -- far more often than the warfare itself -- to create the kind of art shots that fill gallery shows .,0,1,0.9995816349983215,0.9995816349983215,37,False,False,False
you can tell almost immediately that welcome to collinwood isn't going to jell .,0,1,0.9995809197425842,0.9995809197425842,14,False,False,False
mariah carey gives us another peek at some of the magic we saw in glitter here in wisegirls .,0,1,0.9995768666267395,0.9995768666267395,19,False,False,False
novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama .,0,1,0.9995704293251038,0.9995704293251038,20,False,False,False
"by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an easy one to review .",0,1,0.9995642304420471,0.9995642304420471,41,True,True,False
"as earnest as a community-college advertisement , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school .",0,1,0.999562680721283,0.999562680721283,29,False,False,False
"behan's memoir is great material for a film -- rowdy , brawny and lyrical in the best irish sense -- but sheridan has settled for a lugubrious romance .",0,1,0.9995608925819397,0.9995608925819397,29,False,True,False
the niftiest trick perpetrated by the importance of being earnest is the alchemical transmogrification of wilde into austen--and a hollywood-ized austen at that .,0,1,0.9995585083961487,0.9995585083961487,24,False,False,False
"though there are many tense scenes in trapped , they prove more distressing than suspenseful .",0,1,0.9995480179786682,0.9995480179786682,16,False,True,False
"the ethos of the chelsea hotel may shape hawke's artistic aspirations , but he hasn't yet coordinated his own dv poetry with the beat he hears in his soul .",0,1,0.9995288848876953,0.9995288848876953,30,False,True,False
"lyne's latest , the erotic thriller unfaithful , further demonstrates just how far his storytelling skills have eroded .",0,1,0.9995224475860596,0.9995224475860596,19,False,False,False
"belongs in the too-hot-for-tv direct-to-video/dvd category , and this is why i have given it a one-star rating .",0,1,0.9995182752609253,0.9995182752609253,19,False,False,False
"juliette binoche's sand is vivacious , but it's hard to sense that powerhouse of 19th-century prose behind her childlike smile .",0,1,0.9995123147964478,0.9995123147964478,21,False,True,False
the threat implied in the title pokémon 4ever is terrifying  like locusts in a horde these things will keep coming .,0,1,0.9995012283325195,0.9995012283325195,22,False,False,False
even when crush departs from the 4w formula . . . it feels like a glossy rehash .,0,1,0.9994977712631226,0.9994977712631226,18,False,False,False
too bad writer-director adam rifkin situates it all in a plot as musty as one of the golden eagle's carpets .,0,1,0.9994950294494629,0.9994950294494629,21,False,False,False
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",0,1,0.9994799494743347,0.9994799494743347,29,True,True,False
tells ( the story ) with such atmospheric ballast that shrugging off the plot's persnickety problems is simply a matter of ( being ) in a shrugging mood .,1,0,0.999457061290741,0.0005429760785773396,29,False,False,False
"the sort of picture in which , whenever one of the characters has some serious soul searching to do , they go to a picture-perfect beach during sunset .",0,1,0.9994531273841858,0.9994531273841858,29,False,False,False
"the beautiful images and solemn words cannot disguise the slack complacency of [godard's] vision , any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice .",0,1,0.9994367957115173,0.9994367957115173,36,False,False,False
"maggie smith as the ya-ya member with the o2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment .",1,0,0.9994277358055115,0.0005722154164686799,26,False,False,False
nearly all the fundamentals you take for granted in most films are mishandled here .,0,1,0.9994248151779175,0.9994248151779175,15,False,False,False
"[a] boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .",0,1,0.9994131326675415,0.9994131326675415,26,False,True,False
"girlfriends are bad , wives are worse and babies are the kiss of death in this bitter italian comedy .",0,1,0.999413013458252,0.999413013458252,20,False,False,False
no surprises .,0,1,0.9994090795516968,0.9994090795516968,3,True,False,False
"the movie worked for me right up to the final scene , and then it caved in .",1,0,0.9994041919708252,0.0005958669353276491,18,False,False,False
"ah , the travails of metropolitan life ! alas , another breathless movie about same !",0,1,0.9993904829025269,0.9993904829025269,16,False,False,False
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",1,0,0.9993894100189209,0.0006105244974605739,20,False,False,False
""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",1,0,0.9993860721588135,0.0006138976896181703,26,True,False,False
the world needs more filmmakers with passionate enthusiasms like martin scorsese . but it doesn't need gangs of new york .,0,1,0.9993676543235779,0.9993676543235779,21,False,True,False
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",1,0,0.9993467926979065,0.0006532176630571485,23,False,True,False
"i would be shocked if there was actually one correct interpretation , but that shouldn't make the movie or the discussion any less enjoyable .",1,0,0.9993413090705872,0.0006586757954210043,25,False,True,False
"the film has too many spots where it's on slippery footing , but is acceptable entertainment for the entire family and one that's especially fit for the kiddies .",0,1,0.9992973804473877,0.9992973804473877,29,False,True,False
"chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book .",0,1,0.9992781281471252,0.9992781281471252,17,False,False,False
entertainment more disposable than hanna-barbera's half-hour cartoons ever were .,0,1,0.9992542862892151,0.9992542862892151,10,False,False,False
it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it .,0,1,0.9992389678955078,0.9992389678955078,30,False,False,False
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",1,0,0.9992030262947083,0.00079703563824296,31,False,False,False
"critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .",1,0,0.9991826415061951,0.0008173274691216648,31,False,False,False
"the filmmakers are playing to the big boys in new york and l . a . to that end , they mock the kind of folks they don't understand , ones they figure the power-lunchers don't care to understand , either .",0,1,0.9991580247879028,0.9991580247879028,42,False,False,False
a preposterously melodramatic paean to gang-member teens in brooklyn circa 1958 .,0,1,0.9991577863693237,0.9991577863693237,12,False,False,False
it's hard to understand why anyone in his right mind would even think to make the attraction a movie . and it's harder still to believe that anyone in his right mind would want to see the it .,0,1,0.9991445541381836,0.9991445541381836,39,False,False,False
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",1,0,0.9991176724433899,0.000882328487932682,33,True,True,False
"in gleefully , thumpingly hyperbolic terms , it covers just about every cliche in the compendium about crass , jaded movie types and the phony baloney movie biz .",0,1,0.9991169571876526,0.9991169571876526,29,False,False,False
"whether this is art imitating life or life imitating art , it's an unhappy situation all around .",0,1,0.9991145730018616,0.9991145730018616,18,False,False,False
"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .",0,1,0.9990929365158081,0.9990929365158081,21,False,True,False
the story alone could force you to scratch a hole in your head .,0,1,0.9990831613540649,0.9990831613540649,14,False,False,False
earnest yet curiously tepid and choppy recycling in which predictability is the only winner .,0,1,0.9989907145500183,0.9989907145500183,15,False,True,False
"the dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving .",0,1,0.9989587068557739,0.9989587068557739,22,False,False,False
"little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin moral to such a knowing fable .",0,1,0.9989314675331116,0.9989314675331116,31,True,True,False
"filled with low-brow humor , gratuitous violence and a disturbing disregard for life .",0,1,0.998835027217865,0.998835027217865,14,False,False,False
bring on the sequel .,1,0,0.9988138675689697,0.0011861914535984397,5,False,False,False
"the beautiful , unusual music is this film's chief draw , but its dreaminess may lull you to sleep .",0,1,0.9987372756004333,0.9987372756004333,20,False,True,False
the charms of the lead performances allow us to forget most of the film's problems .,1,0,0.9987320303916931,0.0012679187348112464,16,False,False,False
a soap-opera quality twist in the last 20 minutes . . . almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination .,1,0,0.9987140893936157,0.0012858981499448419,27,False,False,False
it has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references .,0,1,0.9985363483428955,0.9985363483428955,15,False,False,False
what begins as a film in the tradition of the graduate quickly switches into something more recyclable than significant .,1,0,0.9985352754592896,0.00146473350469023,20,False,False,False
"it's like an old warner bros . costumer jived with sex -- this could be the movie errol flynn always wanted to make , though bette davis , cast as joan , would have killed him .",1,0,0.9980423450469971,0.001957634696736932,37,False,True,False
"while the new film is much more eye-catching than its blood-drenched stephen norrington-directed predecessor , the new script by the returning david s . goyer is much sillier .",0,1,0.997979462146759,0.997979462146759,29,False,True,False
"the santa clause 2 is a barely adequate babysitter for older kids , but i've got to give it thumbs down .",0,1,0.997795581817627,0.997795581817627,22,False,True,False
". . . strips bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .",1,0,0.9977109432220459,0.0022890805266797543,22,False,False,False
"proves a servicable world war ii drama that can't totally hide its contrivances , but it at least calls attention to a problem hollywood too long has ignored .",1,0,0.9975906610488892,0.002409399254247546,29,False,True,False
"while this one gets off with a good natured warning , future lizard endeavors will need to adhere more closely to the laws of laughter",0,1,0.9975887537002563,0.9975887537002563,25,False,True,False
"the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .",0,1,0.9973824620246887,0.9973824620246887,27,False,False,False
"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",0,1,0.9973604083061218,0.9973604083061218,30,False,False,False
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was earnest .",1,0,0.9973383545875549,0.002661643084138632,29,False,False,False
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,1,0,0.9973151087760925,0.002684919163584709,17,False,False,False
watching spirited away is like watching an eastern imagination explode .,1,0,0.9973130822181702,0.002686942694708705,11,False,False,False
"ensemble movies , like soap operas , depend on empathy . if there ain't none , you have a problem .",0,1,0.9972888231277466,0.9972888231277466,21,True,False,False
the campy results make mel brooks' borscht belt schtick look sophisticated .,0,1,0.9972527623176575,0.9972527623176575,12,False,False,False
"the script's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off .",1,0,0.9972150325775146,0.0027849371545016766,30,False,True,False
meticulously uncovers a trail of outrageous force and craven concealment .,1,0,0.9970531463623047,0.002946850610896945,11,False,False,False
"it's really just another silly hollywood action film , one among a multitude of simple-minded , yahoo-ing death shows .",0,1,0.9970310926437378,0.9970310926437378,20,False,False,False
"seeing as the film lacks momentum and its position remains mostly undeterminable , the director's experiment is a successful one .",0,1,0.9970239996910095,0.9970239996910095,21,False,False,False
the only type of lives this glossy comedy-drama resembles are ones in formulaic mainstream movies .,0,1,0.9969610571861267,0.9969610571861267,16,False,False,False
i'd rather watch a rerun of the powerpuff girls,1,0,0.996852457523346,0.003147514071315527,9,False,False,False
my wife's plotting is nothing special ; it's the delivery that matters here .,1,0,0.9968342185020447,0.003165822708979249,14,True,False,False
rashomon-for-dipsticks tale .,0,1,0.9968074560165405,0.9968074560165405,3,False,False,False
"in moonlight mile , no one gets shut out of the hug cycle .",0,1,0.9967676401138306,0.9967676401138306,14,True,False,False
there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .,0,1,0.99669349193573,0.99669349193573,29,False,False,False
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,1,0,0.9965798258781433,0.003420125227421522,13,False,False,False
"while it's all quite tasteful to look at , the attention process tends to do a little fleeing of its own .",0,1,0.9965702295303345,0.9965702295303345,22,False,True,False
"this amiable picture talks tough , but it's all bluster -- in the end it's as sweet as greenfingers . . .",1,0,0.9964991807937622,0.0035008175764232874,22,False,True,False
competently directed but terminally cute drama .,0,1,0.9964002370834351,0.9964002370834351,7,False,True,False
"whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama isn't much of a mystery , unfortunately .",1,0,0.996385931968689,0.003614067332819104,20,False,False,False
"it's an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise .",0,1,0.9963251948356628,0.9963251948356628,17,False,False,False
has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be .,1,0,0.9961692690849304,0.0038307784125208855,19,False,False,False
"don michael paul uses quick-cuts , ( very ) large shadows and wide-angle shots taken from a distance to hide the liberal use of a body double ( for seagal ) .",0,1,0.9961507320404053,0.9961507320404053,32,False,False,False
"[lee] treats his audience the same way that jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects . and lee seems just as expectant of an adoring , wide-smiling reception .",0,1,0.9958891272544861,0.9958891272544861,37,False,False,False
"how do you make a movie with depth about a man who lacked any ? on the evidence before us , the answer is clear : not easily and , in the end , not well enough .",0,1,0.9957096576690674,0.9957096576690674,38,True,False,False
it's unlikely we'll see a better thriller this year .,1,0,0.995657205581665,0.004342811182141304,10,False,False,False
does anyone much think the central story of brendan behan is that he was a bisexual sweetheart before he took to drink ?,0,1,0.9953247308731079,0.9953247308731079,23,False,False,False
"i just saw this movie . . . well , it's probably not accurate to call it a movie .",1,0,0.9951877593994141,0.00481222290545702,20,True,False,False
the picture's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .,1,0,0.9948652386665344,0.00513480557128787,19,False,False,False
"missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane .",1,0,0.9947677850723267,0.005232266150414944,20,False,False,False
"what we get in feardotcom is more like something from a bad clive barker movie . in other words , it's badder than bad .",0,1,0.994766354560852,0.994766354560852,25,False,False,False
"his [nelson's] screenplay needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting matches about it .",0,1,0.9946263432502747,0.9946263432502747,25,False,False,False
"the histrionic muse still eludes madonna and , playing a charmless witch , she is merely a charmless witch .",0,1,0.9946247935295105,0.9946247935295105,20,False,False,False
charly comes off as emotionally manipulative and sadly imitative of innumerable past love story derisions .,0,1,0.9945936799049377,0.9945936799049377,16,False,False,False
there has to be a few advantages to never growing old . like being able to hit on a 15-year old when you're over 100 .,1,0,0.9945571422576904,0.005442929454147816,26,True,False,False
much smarter and more attentive than it first sets out to be .,1,0,0.9944344162940979,0.0055656032636761665,13,False,False,False
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",0,1,0.9943256974220276,0.9943256974220276,19,False,False,False
"a "" black austin powers ? "" i prefer to think of it as "" pootie tang with a budget . "" sa da tay !",1,0,0.9941607117652893,0.005839241202920675,26,False,False,False
"a wishy-washy melodramatic movie that shows us plenty of sturm und drung , but explains its characters' decisions only unsatisfactorily .",0,1,0.9941244721412659,0.9941244721412659,21,False,True,False
"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",1,0,0.9938157796859741,0.006184230092912912,18,False,False,False
final verdict : you've seen it all before .,0,1,0.9936516284942627,0.9936516284942627,9,False,False,False
"too long , and larded with exposition , this somber cop drama ultimately feels as flat as the scruffy sands of its titular community .",0,1,0.9932622313499451,0.9932622313499451,25,False,False,False
the warnings to resist temptation in this film . . . are blunt and challenging and offer no easy rewards for staying clean .,1,0,0.9932094216346741,0.006790535990148783,24,True,False,False
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",1,0,0.9931491017341614,0.006850881967693567,20,False,False,False
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",1,0,0.9926224946975708,0.0073774512857198715,20,False,False,False
a minor-league soccer remake of the longest yard .,0,1,0.9925305247306824,0.9925305247306824,9,False,False,False
"remember back when thrillers actually thrilled ? when the twist endings were actually surprising ? when the violence actually shocked ? when the heroes were actually under 40 ? sadly , as blood work proves , that was a long , long time ago .",0,1,0.9925244450569153,0.9925244450569153,45,False,False,False
'tobey maguire is a poster boy for the geek generation . ',1,0,0.9924649000167847,0.0075350571423769,12,False,False,False
i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd .,0,1,0.992414653301239,0.992414653301239,33,False,False,False
"i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close .",1,0,0.9920765161514282,0.007923547178506851,31,False,True,False
it's a mystery how the movie could be released in this condition .,0,1,0.9917531609535217,0.9917531609535217,13,False,False,False
"( it ) highlights not so much the crime lord's messianic bent , but spacey's .",0,1,0.9913294315338135,0.9913294315338135,16,True,True,False
"in a 102-minute film , aaliyah gets at most 20 minutes of screen time . . . . most viewers will wish there had been more of the "" queen "" and less of the "" damned . """,0,1,0.9901206493377686,0.9901206493377686,39,False,False,False
"tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it completely contradicts everything kieslowski's work aspired to , including the condition of art .",0,1,0.9895820617675781,0.9895820617675781,28,False,False,False
". . . feels as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",0,1,0.9895063042640686,0.9895063042640686,35,False,False,False
"the film is all over the place , really . it dabbles all around , never gaining much momentum .",0,1,0.9894089698791504,0.9894089698791504,20,True,False,False
the densest distillation of roberts' movies ever made .,0,1,0.9893794655799866,0.9893794655799866,9,False,False,False
koepp's screenplay isn't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .,0,1,0.989193856716156,0.989193856716156,19,False,False,False
"a visionary marvel , but it's lacking a depth in storytelling usually found in anime like this .",1,0,0.9885411262512207,0.011458810418844223,18,False,True,False
"the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .",0,1,0.9874749779701233,0.9874749779701233,25,False,True,False
"while the story does seem pretty unbelievable at times , it's awfully entertaining to watch .",1,0,0.9870635271072388,0.012936390936374664,16,False,True,False
it's tough to be startled when you're almost dozing .,0,1,0.9870135188102722,0.9870135188102722,10,False,False,False
you will likely prefer to keep on watching .,1,0,0.9860547184944153,0.013945281505584717,9,False,False,False
"yes they can swim , the title is merely anne-sophie birot's off-handed way of saying girls find adolescence difficult to wade through .",0,1,0.9848418235778809,0.9848418235778809,23,False,False,False
"the pacing is deadly , the narration helps little and naipaul , a juicy writer , is negated .",0,1,0.9847597479820251,0.9847597479820251,19,False,False,False
a film without surprise geared toward maximum comfort and familiarity .,0,1,0.9846183657646179,0.9846183657646179,11,False,False,False
more intellectually scary than dramatically involving .,0,1,0.9844150543212891,0.9844150543212891,7,False,False,False
. . . you can be forgiven for realizing that you've spent the past 20 minutes looking at your watch and waiting for frida to just die already .,0,1,0.9842475652694702,0.9842475652694702,29,False,False,False
an older cad instructs a younger lad in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy .,1,0,0.9832968711853027,0.016703089699149132,25,False,False,False
". . . for all its social and political potential , state property doesn't end up being very inspiring or insightful .",0,1,0.982796311378479,0.982796311378479,22,False,False,False
"stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human connection .",1,0,0.982488214969635,0.017511747777462006,32,False,False,False
"aptly named , this shimmering , beautifully costumed and filmed production doesn't work for me .",0,1,0.9793328642845154,0.9793328642845154,16,False,False,False
well-made but mush-hearted .,0,1,0.9789672493934631,0.9789672493934631,4,False,True,False
"gangs , despite the gravity of its subject matter , is often as fun to watch as a good spaghetti western .",1,0,0.9773545861244202,0.022645458579063416,22,False,True,False
"ultimately , the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms . paltrow employs to authenticate her british persona is another liability .",0,1,0.9766643047332764,0.9766643047332764,33,True,False,False
"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",1,0,0.9738396406173706,0.026160310953855515,17,False,False,False
"not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of 'eh . '",0,1,0.9736917018890381,0.9736917018890381,30,True,False,False
"an "" o bruin , where art thou ? "" -style cross-country adventure . . . it has sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack .",0,1,0.973688542842865,0.973688542842865,35,False,False,False
the plot is romantic comedy boilerplate from start to finish .,0,1,0.9731661081314087,0.9731661081314087,11,False,False,False
"once he starts learning to compromise with reality enough to become comparatively sane and healthy , the film becomes predictably conventional .",0,1,0.967745304107666,0.967745304107666,22,False,False,False
"in this film we at least see a study in contrasts ; the wide range of one actor , and the limited range of a comedian .",0,1,0.9625004529953003,0.9625004529953003,27,False,False,False
"a relentless , bombastic and ultimately empty world war ii action flick .",0,1,0.959408700466156,0.959408700466156,13,False,False,False
"a well-acted , but one-note film .",0,1,0.957819938659668,0.957819938659668,7,False,True,False
a period story about a catholic boy who tries to help a jewish friend get into heaven by sending the audience straight to hell .,0,1,0.9535921216011047,0.9535921216011047,25,False,False,False
"the film didn't move me one way or the other , but it was an honest effort and if you want to see a flick about telemarketers this one will due .",0,1,0.9383967518806458,0.9383967518806458,32,False,True,False
"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",0,1,0.9267680644989014,0.9267680644989014,24,False,False,False
. . . hopefully it'll be at the dollar theatres by the time christmas rolls around . wait to see it then .,0,1,0.9245190620422363,0.9245190620422363,23,False,False,False
"certainly beautiful to look at , but its not very informative about its titular character and no more challenging than your average television biopic .",0,1,0.9105781316757202,0.9105781316757202,25,True,True,False
there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that permeates the script .,1,0,0.9012982249259949,0.09870176762342453,23,False,True,False
an encouraging effort from mccrudden,0,1,0.8997048735618591,0.8997048735618591,5,False,False,False
"none of this has the suavity or classical familiarity of bond , but much of it is good for a laugh . the problem with "" xxx "" is that its own action isn't very effective .",0,1,0.8905732035636902,0.8905732035636902,37,True,True,False
""" not really as bad as you might think ! """,0,1,0.8745476007461548,0.8745476007461548,11,True,False,False
"it sounds like another clever if pointless excursion into the abyss , and that's more or less how it plays out .",0,1,0.8698003888130188,0.8698003888130188,22,False,False,False
"manipulative claptrap , a period-piece movie-of-the-week , plain old blarney . . . take your pick . all three descriptions suit evelyn , a besotted and obvious drama that tells us nothing new .",0,1,0.8442452549934387,0.8442452549934387,34,True,False,False
'opening up' the play more has partly closed it down .,0,1,0.813662588596344,0.813662588596344,11,False,False,False
your children will be occupied for 72 minutes .,1,0,0.8054322004318237,0.19456776976585388,9,False,False,False
predictably melodramatic .,0,1,0.8042755126953125,0.8042755126953125,3,False,False,False
